[2025-04-29 13:00:52,568] 20 root - INFO - Initiate the data ingestion
[2025-04-29 13:01:00,081] 65 root - INFO - Performed train test split on the dataframe
[2025-04-29 13:01:00,081] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-04-29 13:01:00,083] 75 root - INFO - Exporting train and test file path.
[2025-04-29 13:01:00,269] 84 root - INFO - Exported train and test file path.
[2025-04-29 13:01:00,271] 22 root - INFO - Data Initiation Completed
[2025-04-29 13:01:00,299] 26 root - INFO - Initiate the data Validation
[2025-04-29 13:01:00,479] 32 root - INFO - Required number of columns:2
[2025-04-29 13:01:00,481] 33 root - INFO - Data frame has columns:31
[2025-04-29 13:01:00,482] 32 root - INFO - Required number of columns:2
[2025-04-29 13:01:00,482] 33 root - INFO - Data frame has columns:31
[2025-04-29 13:01:01,044] 28 root - INFO - data Validation Completed
[2025-04-29 13:01:01,045] 31 root - INFO - data Transformation started
[2025-04-29 13:01:01,045] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-04-29 13:01:01,045] 65 root - INFO - Starting data transformation
[2025-04-29 13:01:01,130] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-04-29 13:01:01,130] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-04-29 13:01:01,174] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 13:01:01,187] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 13:01:01,188] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 13:01:01,199] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 13:01:01,205] 35 root - INFO - data Transformation completed
[2025-04-29 13:01:01,205] 37 root - INFO - Model Training sstared
[2025-04-29 13:05:31,307] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 13:05:31,309] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 13:05:31,309] 46 root - INFO - Entered the save_object method of MainUtils class
[2025-04-29 13:05:31,339] 50 root - INFO - Exited the save_object method of MainUtils class
[2025-04-29 13:05:31,339] 154 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\04_29_2025_13_00_47\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9912796592983167, precision_score=0.9870759289176091, recall_score=0.9955193482688391), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9737678855325914, precision_score=0.9653270291568163, recall_score=0.9823576583801122))
[2025-04-29 13:05:31,343] 42 root - INFO - Model Training artifact created
